f,x
759.8,0.125
760,0.14844
760.2,0.21875
760.4,0.25781
760.6,0.35938
760.8,0.41406
761,0.375
761.2,0.24219
761.4,-0.0078125
761.6,-0.10938
761.8,-0.054688
762,0.03125
762.2,0.125
762.4,0.10938
762.6,0.023438
762.8,0
763,0.039063
763.2,-0.023438
763.4,-0.14844
763.6,-0.32031
763.8,-0.5625
764,-0.54688
764.2,-0.5
764.4,-0.28906
764.6,0.039063
764.8,0.21875
765,0.3125
765.2,0.25781
765.4,0.24219
765.6,0.21094
765.8,0.27344
766,0.39844
766.2,0.21094
766.4,0.015625
766.6,-0.10938
766.8,-0.10938
767,0.085938
767.2,0.14844
767.4,0.14063
767.6,0.046875
767.8,0
768,0.023438
768.2,-0.070313
768.4,-0.17188
768.6,-0.41406
768.8,-0.57813
769,-0.49219
769.2,-0.42969
769.4,-0.14844
769.6,0.10938
769.8,0.21875
770,0.27344
770.2,0.25
770.4,0.17188
770.6,0.20313
770.8,0.33594
771,0.32031
771.2,0.11719
771.4,-0.10156
771.6,-0.17188
771.8,0
772,0.17188
772.2,0.21875
772.4,0.039063
772.6,-0.0078125
772.8,0.046875
773,0.03125
773.2,-0.039063
773.4,-0.33594
773.6,-0.54688
773.8,-0.53906
774,-0.40625
774.2,-0.1875
774.4,-0.03125
774.6,0.10938
774.8,0.17969
775,0.23438
775.2,0.29688
775.4,0.26563
775.6,0.27344
775.8,0.27344
776,0.125
776.2,-0.039063
776.4,-0.11719
776.6,-0.054688
776.8,0.0625
777,0.17188
777.2,0.125
777.4,0.03125
777.6,0.039063
777.8,0.03125
778,-0.015625
778.2,-0.13281
778.4,-0.34375
778.6,-0.47656
778.8,-0.5
779,-0.42188
779.2,-0.22656
779.4,0.070313
779.6,0.24219
779.8,0.22656
780,0.23438
780.2,0.20313
780.4,0.30469
780.6,0.39063
780.8,0.29688
781,0.03125
781.2,-0.14063
781.4,-0.125
781.6,-0.015625
781.8,0.046875
782,0.0078125
782.2,0
782.4,0.125
782.6,0.25
782.8,0.1875
783,-0.046875
783.2,-0.29688
783.4,-0.54688
783.6,-0.60156
783.8,-0.54688
784,-0.39844
784.2,-0.070313
784.4,0.17969
784.6,0.35938
784.8,0.39844
785,0.38281
785.2,0.29688
785.4,0.23438
785.6,0.19531
785.8,0.046875
786,-0.10938
786.2,-0.14063
786.4,-0.078125
786.6,0.046875
786.8,0.11719
787,0.085938
787.2,0.054688
787.4,0.125
787.6,0.15625
787.8,0.046875
788,-0.1875
788.2,-0.42188
788.4,-0.58594
788.6,-0.54688
788.8,-0.46094
789,-0.27344
789.2,0.046875
789.4,0.27344
789.6,0.36719
789.8,0.34375
790,0.29688
790.2,0.40625
790.4,0.46875
790.6,0.24219
790.8,-0.125
791,-0.28906
791.2,-0.17188
791.4,0.0078125
791.6,0.085938
791.8,0.023438
792,0.054688
792.2,0.21875
792.4,0.27344
792.6,0.11719
792.8,-0.14063
793,-0.36719
793.2,-0.53125
793.4,-0.67969
793.6,-0.6875
793.8,-0.48438
794,-0.0078125
794.2,0.41406
794.4,0.49219
794.6,0.45313
794.8,0.32031
795,0.34375
795.2,0.32813
795.4,0.10156
795.6,-0.15625
795.8,-0.28125
796,-0.023438
796.2,0.17188
796.4,0.14844
796.6,0.070313
796.8,0.023438
797,0.14063
797.2,0.17969
797.4,0.046875
797.6,-0.15625
797.8,-0.30469
798,-0.41406
798.2,-0.55469
798.4,-0.5625
798.6,-0.41406
798.8,-0.14844
799,0.20313
799.2,0.32813
799.4,0.33594
799.6,0.32031
799.8,0.32031
